CODBAIRRO;BAIRRO;CODRA;CODRA_TXT;RA;CODRP;CODAP;SHAPESTArea;SHAPESTLength;OBJECTID;Perc_idosos;Prop_idosos;Branca
1;Saúde;1;I;Portuária;1.1;1;36.381.858.984.375;264.622.073.910.907;263;15%;13%;62%
2;Gamboa;1;I;Portuária;1.1;1;111.290.572.509.766;46.128.336.286.256;258;11%;8%;33%
3;Santo Cristo;1;I;Portuária;1.1;1;168.472.513.232.422;674.322.772.361.768;259;15%;12%;54%
4;Caju;1;I;Portuária;1.1;1;534.749.495.947.266;198.005.223.090.805;320;11%;8%;63%
5;Centro;2;II;Centro;1.1;1;542.475.371.484.375;228.462.447.586.692;260;19%;17%;38%
6;Catumbi;3;III;Rio Comprido;1.1;1;539.459.869.628.906;512.371.245.305.672;281;13%;10%;69%
7;Rio Comprido;3;III;Rio Comprido;1.1;1;334.251.956.640.625;126.810.789.982.001;277;15%;13%;66%
8;Cidade Nova;3;III;Rio Comprido;1.1;1;934.855.378.417.969;479.011.635.609.044;272;14%;11%;49%
9;Estácio;3;III;Rio Comprido;1.1;1;980.403.287.597.656;526.943.261.303.254;279;11%;9%;37%
10;Imperial de São Cristóvão;7;VII;São Cristóvão;1.1;1;410.565.489.550.781;141.290.850.762.396;250;14%;12%;88%
11;Mangueira;7;VII;São Cristóvão;1.1;1;798.131.034.667.969;448.900.964.653.348;266;8%;6%;39%
12;Benfica;7;VII;São Cristóvão;1.1;1;173.641.742.480.469;90.979.904.887.991;248;12%;10%;36%
13;Paquetá;21;XXI;Ilha de Paquetá;1.1;1;170.568.910.595.703;248.414.595.527.018;163;21%;19%;45%
14;Santa Teresa;23;XXIII;Santa Teresa;1.1;1;515.714.225.244.141;273.448.408.459.083;278;13%;10%;51%
15;Flamengo;4;IV;Botafogo;2.1;2;164.625.798.193.359;666.534.954.113.915;286;27%;24%;59%
16;Glória;4;IV;Botafogo;2.1;2;114.006.853.515.625;722.524.820.438.355;276;22%;20%;79%
17;Laranjeiras;4;IV;Botafogo;2.1;2;249.351.399.414.062;105.371.280.411.039;287;20%;18%;48%
18;Catete;4;IV;Botafogo;2.1;2;681.028.565.429.688;426.014.757.727.269;285;20%;18%;68%
19;Cosme Velho;4;IV;Botafogo;2.1;2;892.542.431.640.625;788.968.143.627.113;291;13%;11%;54%
20;Botafogo;4;IV;Botafogo;2.1;2;479.896.859.277.344;121.363.918.345.574;293;18%;16%;44%
21;Humaitá;4;IV;Botafogo;2.1;2;105.447.812.695.312;710.085.605.046.368;300;18%;16%;48%
22;Urca;4;IV;Botafogo;2.1;2;231.900.802.734.375;141.385.234.374.793;294;17%;15%;54%
23;Leme;5;V;Copacabana;2.1;2;977.201.638.183.594;704.533.163.500.074;305;24%;21%;81%
24;Copacabana;5;V;Copacabana;2.1;2;410.086.103.027.344;12.803.516.402.074;304;28%;25%;45%
25;Ipanema;6;VI;Lagoa;2.1;2;308.491.530.322.266;234.875.571.461.335;311;25%;22%;47%
26;Leblon;6;VI;Lagoa;2.1;2;215.310.163.183.594;718.867.253.997.716;310;23%;21%;68%
27;Lagoa;6;VI;Lagoa;2.1;2;510.990.684.863.281;103.680.533.368.191;306;15%;13%;41%
28;Jardim Botânico;6;VI;Lagoa;2.1;2;268.921.085.595.703;12.263.131.762.748;302;17%;15%;45%
29;Gávea;6;VI;Lagoa;2.1;2;25.796.433.984.375;142.685.246.558.824;308;15%;13%;58%
30;Vidigal;6;VI;Lagoa;2.1;2;162.138.214.111.328;755.335.473.615.937;316;6%;3%;26%
31;São Conrado;6;VI;Lagoa;2.1;2;6488583;133.119.104.339.642;312;13%;10%;49%
32;Praça da Bandeira;8;VIII;Tijuca;2.2;2;719.911.628.417.969;472.731.227.601.783;273;18%;16%;42%
33;Tijuca;8;VIII;Tijuca;2.2;2;100.655.853.222.656;206.288.529.480.935;280;21%;19%;63%
34;Alto da Boa Vista;8;VIII;Tijuca;2.2;2;3.149.575.953.125;437.444.696.022.622;290;16%;13%;44%
35;Maracanã;9;IX;Vila Isabel;2.2;2;166.730.667.578.125;847.332.679.966.804;275;20%;17%;42%
